X0,Y0,Y1
0.000000,99.193687,41.672176
0.025253,83.754250,61.631615
0.050506,63.610458,88.561646
0.075759,48.551033,121.722588
0.101012,44.624096,161.591034
0.126265,55.268131,197.495132
0.151518,82.173676,206.330765
0.176771,126.045113,180.146576
0.202024,189.431900,132.376984
0.227277,252.648087,86.891945
0.252530,280.878845,50.709541
0.277783,263.611237,28.705032
0.303036,225.348358,18.532471
0.328289,191.477921,16.342245
